Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
MBPLCPBOND,0.0,0.0,0.0,0.0,0.0,4850.0,0.0,0,0.0,0
MEGCONMILK,25.8,-0.77,27.7,25.6,25.8,26.0,-0.2,25,0.29,11156
MEGHNACEM,45.3,1.57,45.3,44.3,45.3,44.6,0.7,2,0.01,200
MEGHNAINS,26.0,-1.89,26.9,25.8,26.0,26.5,-0.5,148,1.09,41941
MEGHNALIFE,51.9,-0.95,52.9,51.6,51.9,52.4,-0.5,218,3.78,72417
MEGHNAPET,26.5,0.0,27.2,25.8,26.5,26.5,0.0,52,0.47,17763
MERCANBANK,10.0,0.0,10.2,10.0,10.0,10.0,0.0,65,3.37,333586
MERCINS,23.1,-2.12,23.1,23.1,23.1,23.6,-0.5,1,0.0,16
METROSPIN,14.5,-3.33,15.2,14.5,14.5,15.0,-0.5,76,0.6,40537
MHSML,14.5,-3.33,15.2,14.4,14.5,15.0,-0.5,200,3.5,238610
MIDASFIN,8.4,2.44,8.5,8.2,8.4,8.2,0.2,58,0.44,53047
MIDLANDBNK,19.1,1.06,19.5,18.7,19.1,18.9,0.2,1044,32.36,1696332
MIRACLEIND,33.5,-0.59,34.0,33.4,33.5,33.7,-0.2,125,3.18,94385
MIRAKHTER,33.3,-2.92,34.3,33.3,33.3,34.3,-1.0,269,9.17,271176
MITHUNKNIT,16.2,-0.61,16.6,16.0,16.2,16.3,-0.1,46,0.59,36701
MJLBD,94.7,-0.11,95.0,94.1,94.7,94.8,-0.1,213,6.8,71926
MKFOOTWEAR,49.5,-0.2,49.5,47.6,49.5,49.6,-0.1,2,0.0,6
MLDYEING,10.8,-1.82,11.1,10.7,10.8,11.0,-0.2,168,3.14,288944
MONNOAGML,326.0,-0.7,329.0,326.0,326.0,328.3,-2.3,120,2.27,6933
MONNOCERA,89.5,0.67,91.4,88.1,89.5,88.9,0.6,781,22.56,249764
MONNOFABR,16.7,-1.18,17.1,16.6,16.7,16.9,-0.2,362,8.01,476347
MONOSPOOL,103.7,-1.43,105.9,103.6,103.7,105.2,-1.5,587,7.9,75713
MOSTFAMETL,11.2,-6.67,12.0,11.1,11.2,12.0,-0.8,19,0.29,25706
MPETROLEUM,205.4,0.05,206.8,205.2,205.4,205.3,0.1,44,0.8,3870
MTB,12.2,-1.61,12.6,12.2,12.2,12.4,-0.2,63,1.03,83369
NAHEEACP,22.4,-2.61,23.0,22.4,22.4,23.0,-0.6,172,3.89,171460
NATLIFEINS,96.0,-1.03,97.9,95.5,96.0,97.0,-1.0,255,3.69,38239
NAVANACNG,21.7,-1.36,22.4,21.7,21.7,22.0,-0.3,82,1.2,54214
NAVANAPHAR,51.3,-0.97,52.2,51.0,51.3,51.8,-0.5,240,2.43,47086
NBL,4.5,0.0,4.6,4.5,4.5,4.5,0.0,73,0.5,111704
NCCBANK,10.1,-0.98,10.2,10.1,10.1,10.2,-0.1,67,4.39,432444
NCCBLMF1,5.0,-1.96,5.1,5.0,5.0,5.1,-0.1,6,0.04,7605
NEWLINE,10.3,-5.5,11.0,10.1,10.3,10.9,-0.6,739,15.08,1439879
NFML,9.0,-3.23,9.3,9.0,9.0,9.3,-0.3,62,0.74,81602
NHFIL,28.2,0.0,29.1,28.0,28.2,28.2,0.0,436,22.3,782356
NIALCO,21.1,1.44,22.0,20.6,21.1,20.8,0.3,17,0.43,20788
NITOLINS,24.7,0.0,24.8,24.2,24.7,24.7,0.0,28,0.05,2040
NORTHERN,112.2,-0.62,114.2,112.0,112.2,112.9,-0.7,30,0.28,2512
NORTHRNINS,28.0,0.72,28.3,28.0,28.0,27.8,0.2,18,0.11,4004
NPOLYMER,32.1,-2.43,33.2,32.1,32.1,32.9,-0.8,369,7.97,244532
NRBBANK,13.8,0.0,14.0,13.7,13.8,13.8,0.0,198,29.8,2165843
NRBCBANK,8.5,0.0,8.6,8.4,8.5,8.5,0.0,37,1.12,131436
NTC,192.9,9.98,192.9,174.5,192.9,175.4,17.5,307,5.74,30277
NTLTUBES,79.7,-1.12,81.2,79.5,79.7,80.6,-0.9,181,2.21,27545
NURANI,4.1,0.0,4.1,4.1,4.1,4.1,0.0,16,0.16,39914
